isbn,title,authors,publisher,language,genres
9780877957690,Count Zero,William Gibson,Arbor House Publishing Company (NY),English,"['Science Fiction', 'Cyberpunk', 'Fiction', 'Science Fiction Fantasy', 'Dystopia', 'Novels', 'Fantasy']"
9780451228215,Covet ,J.R. Ward,Signet,English,"['Paranormal', 'Paranormal Romance', 'Romance', 'Angels', 'Fantasy', 'Urban Fantasy', 'Demons']"
9780751500219,Cows of Our Planet,Gary Larson,Warner Books,English,"['Comics', 'Humor', 'Graphic Novels', 'Comic Strips', 'Fiction', 'Cartoon', 'Comedy']"
9780061099328,Coyote Waits ,Tony Hillerman,HarperPaperbacks,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Westerns', 'Detective', 'Native Americans']"
9781423337454,Creation in Death ,J.D. Robb,Brilliance Audio,English,"['Mystery', 'Romance', 'Crime', 'Romantic Suspense', 'Fiction', 'Futuristic', 'Suspense']"
9781660089055,Credence,Penelope Douglas,Independently published,English,"['Romance', 'Contemporary', 'Reverse Harem', 'New Adult', 'Dark', 'Contemporary Romance', 'Adult']"
9780452253803,Creepshow,Stephen King,Berkley,English,"['Horror', 'Graphic Novels', 'Comics', 'Fiction', 'Short Stories', 'Fantasy', 'Graphic Novels Comics']"
9781416989431,Crescendo ,Becca Fitzpatrick,Simon & Schuster,English,"['Young Adult', 'Fantasy', 'Romance', 'Angels', 'Paranormal', 'Paranormal Romance', 'Fiction']"
9780312642976,Cress ,Marissa Meyer,Feiwel & Friends,English,"['Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Retellings', 'Dystopia', 'Fiction']"
9780440203438,Crimson Joy ,Robert B. Parker,Dell,English,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Thriller', 'Mystery Thriller', 'Suspense']"
9780743453028,Cross Bones ,Kathy Reichs,Pocket Star,,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Murder Mystery']"
9781423100058,Cross My Heart and Hope to Spy ,Ally Carter,Hyperion Book CH,English,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Espionage', 'Adventure']"
9780142421710,Crossed ,Ally Condie,Penguin Books,English,"['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fiction', 'Fantasy', 'Teen']"
9780375759314,Crossing to Safety,Wallace Stegner,Modern Library,English,"['Fiction', 'Classics', 'Literary Fiction', 'Novels', 'Historical Fiction', 'Literature', 'Book Club']"
9781937085766,Crossroads ,Mary Ting,World Castle,English,"['Fantasy', 'Young Adult', 'Angels', 'Paranormal', 'Romance', 'Paranormal Romance', 'Demons']"
9780312864590,Crossroads of Twilight ,Robert Jordan,Tor Fantasy,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']"
9780380718344,Cruel & Unusual ,Patricia Cornwell,Avon,Dutch; Flemish,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Murder Mystery']"
9780062224736,Cruel Beauty,Rosamund Hodge,Balzer + Bray,English,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Fairy Tales', 'Mythology', 'Young Adult Fantasy']"
9780440118701,Cry for the Strangers,John Saul,Dell,English,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Supernatural', 'Mystery Thriller']"
9780345396938,Cry to Heaven,Anne Rice,Ballantine Books,English,"['Fiction', 'Historical Fiction', 'Historical', 'Horror', 'Fantasy', 'Romance', 'LGBT']"
9780441016150,Cry Wolf ,Patricia Briggs,Ace,English,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Werewolves', 'Shapeshifters']"
9780525657743,Crying in H Mart,Michelle Zauner,Knopf,English,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Food', 'Biography Memoir', 'Adult']"
9780345327864,Crystal Singer ,Anne McCaffrey,Del Rey Books,English,"['Science Fiction', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Space Opera', 'Romance', 'Adventure']"
9781595148223,Crystal Storm ,Morgan Rhodes,Razorbill,English,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'High Fantasy', 'Young Adult Fantasy', 'Fiction']"
9780679750543,Culture and Imperialism,Edward W. Said,Vintage,English,"['Nonfiction', 'History', 'Politics', 'Philosophy', 'Theory', 'Sociology', 'Cultural']"
9780445408647,Curses! ,Aaron Elkins,Mysterious Pr,English,"['Mystery', 'Fiction', 'Anthropology', 'Cozy Mystery', 'Archaeology', 'Crime', 'Mystery Thriller']"
9780445408647,Curses! ,Aaron Elkins,Mysterious Pr,English,"['Mystery', 'Fiction', 'Anthropology', 'Cozy Mystery', 'Archaeology', 'Crime', 'Mystery Thriller']"
9780375414497,Cutting for Stone,Abraham   Verghese,Alfred A. Knopf,English,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical']"
9780451822192,Cycle of the Werewolf,Stephen King,Signet Books,English,"['Horror', 'Fiction', 'Fantasy', 'Werewolves', 'Thriller', 'Supernatural', 'Paranormal']"
9780671704643,Cyclops ,Clive Cussler,Pocket Books,English,"['Adventure', 'Fiction', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']"
9780446671279,Cyteen ,C.J. Cherryh,Aspect,English,"['Science Fiction', 'Fiction', 'Hugo Awards', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Speculative Fiction']"
9780618683079,Dairy Queen ,Catherine Gilbert Murdock,Houghton Mifflin,English,"['Young Adult', 'Contemporary', 'Sports', 'Romance', 'Realistic Fiction', 'Fiction', 'Teen']"
9781250843937,Daisy Darker,Alice Feeney,Flatiron Books,English,"['Mystery', 'Thriller', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult']"
9781524798628,Daisy Jones & The Six,Taylor Jenkins Reid,Ballantine Books,English,"['Fiction', 'Historical Fiction', 'Audiobook', 'Contemporary', 'Music', 'Adult', 'Historical']"
9780615796154,Damaged ,H.M. Ward,Laree Bailey Press,English,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'College', 'Abuse', 'Adult']"
9780446617093,Dance of Death ,Douglas Preston,Warner Books,English,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Mystery Thriller', 'Crime']"
9780446617093,Dance of Death ,Douglas Preston,Warner Books,English,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Mystery Thriller', 'Crime']"
9780749932770,Dance Upon the Air ,Nora Roberts,Piatkus,English,"['Romance', 'Paranormal', 'Fantasy', 'Fiction', 'Contemporary Romance', 'Paranormal Romance', 'Contemporary']"
9781897370315,Dance With Deception ,Tracy   Goodwin,LBF Books,English,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Amazon', 'Drama']"
9780571144792,Dancing at Lughnasa,Brian Friel,Faber Faber,English,"['Plays', 'Drama', 'Irish Literature', 'Fiction', 'Theatre', 'Ireland', 'Classics']"
9780684831053,Dancing at the Rascal Fair,Ivan Doig,Scribner,English,"['Fiction', 'Historical Fiction', 'Westerns', 'Literature', 'Historical', 'Literary Fiction', 'Audiobook']"
9780553293173,Dangerous,Amanda Quick,Bantam Books,English,"['Historical Romance', 'Romance', 'Historical', 'Mystery', 'Historical Fiction', 'Regency', 'Fiction']"
9780515142907,Daring to Dream ,Nora Roberts,Jove,English,"['Romance', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Audiobook']"
9780425285954,Dark Age ,Pierce Brown,Del Rey,English,"['Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Audiobook', 'Adult', 'Young Adult']"
9780312590970,Dark Flame ,Alyson Noel,St. Martin's Griffin,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural', 'Paranormal Romance']"
9780553560718,Dark Force Rising ,Timothy Zahn,Random House Worlds,English,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook']"
9780575075368,Dark Lord of Derkholm ,Diana Wynne Jones,Gollancz,English,"['Fantasy', 'Young Adult', 'Fiction', 'Humor', 'Magic', 'Dragons', 'Adventure']"
9780451216953,Dark Lover ,J.R. Ward,Penguin Group (USA),English,"['Paranormal', 'Vampires', 'Paranormal Romance', 'Fantasy', 'Urban Fantasy', 'Adult', 'Fiction']"
9781101904220,Dark Matter,Blake Crouch,Ballantine Books,English,"['Science Fiction', 'Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Adult']"
9781476777948,Dark Wild Night ,Christina Lauren,Gallery Books,English,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Erotica', 'Audiobook', 'Adult']"
9781849013765,Darker After Midnight ,Lara Adrian,Robinson Publishing,English,"['Paranormal Romance', 'Paranormal', 'Vampires', 'Romance', 'Fantasy', 'Urban Fantasy', 'Adult']"
9780061659256,Darkest Mercy ,Melissa Marr,Harper,English,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fairies', 'Fae']"
9780385339155,Darkfever ,Karen Marie Moning,Delacorte Press,English,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Fae', 'Paranormal Romance', 'Adult']"
9780553505849,"Darkness, Take My Hand ",Dennis Lehane,Bantam,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Detective', 'Noir']"
9780345459817,Darwin's Radio ,Greg Bear,Ballantine Books,English,"['Science Fiction', 'Fiction', 'Thriller', 'Science Fiction Fantasy', 'Evolution', 'Speculative Fiction', 'Audiobook']"
9780061120251,Daughter of Fortune,Isabel Allende,Harper Perennial,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Magical Realism', 'Novels', 'Literature']"
9780316134026,Daughter of Smoke & Bone ,Laini Taylor,"Little, Brown Books for Young Readers",English,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Angels', 'Fiction']"
9780451461483,Daughter of the Blood ,Anne Bishop,Ace,English,"['Fantasy', 'Romance', 'Magic', 'Fiction', 'Dark Fantasy', 'High Fantasy', 'Paranormal']"
9780063031302,Daughter of the Moon Goddess ,Sue Lynn Tan,Harper Voyager,English,"['Fantasy', 'Romance', 'Mythology', 'Young Adult', 'Fiction', 'Retellings', 'Audiobook']"
9781250095961,Daughter of the Pirate King ,Tricia Levenseller,Feiwel and Friends,English,"['Fantasy', 'Young Adult', 'Romance', 'Pirates', 'Young Adult Fantasy', 'Adventure', 'Fiction']"
9780740706004,Dave Barry's Book of Bad Songs,Dave Barry,Andrews McMeel Publishing,English,"['Humor', 'Nonfiction', 'Music', 'Essays', 'Comedy', 'Adult', 'Pop Culture']"
9780449911839,Davita's Harp,Chaim Potok,Random House Publishing Group,English,"['Fiction', 'Jewish', 'Historical Fiction', 'Judaism', 'Literature', 'Classics', 'Religion']"
9780446603775,Dawn ,Octavia E. Butler,Warner Books,English,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Aliens', 'Post Apocalyptic', 'Dystopia']"
9780735216723,Deacon King Kong,James   McBride,Riverhead Books,English,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Mystery', 'African American', 'Historical']"
9780441017157,Dead and Gone ,Charlaine Harris,Ace Books,English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']"
9780441013333,Dead as a Doornail ,Charlaine Harris,Ace Books,English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']"
9780451460912,Dead Beat ,Jim Butcher,Ace,English,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Paranormal', 'Magic', 'Audiobook']"
9780425256756,Dead Heat ,Patricia Briggs,Ace,English,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Werewolves', 'Paranormal Romance', 'Shapeshifters']"
9780441018642,Dead in the Family ,Charlaine Harris,Ace Books,English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']"
9780425137499,Dead in the Water ,Dana Stabenow,Berkley,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Suspense', 'Audiobook']"
9780679751311,Dead Man Walking: The Eyewitness Account Of The Death Penalty That Sparked a National Debate,Helen Prejean,Knopf Doubleday Publishing Group,English,"['Nonfiction', 'True Crime', 'Memoir', 'Biography', 'Crime', 'Politics', 'Religion']"
9780446405164,Dead Man's Ransom ,Ellis Peters,Mysterious Press,English,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Historical Mystery', 'Medieval']"
9780446405164,Dead Man's Ransom ,Ellis Peters,Mysterious Press,English,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Historical Mystery', 'Medieval']"
9780684857541,Dead Man's Walk ,Larry McMurtry,Simon & Schuster,English,"['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Historical', 'Audiobook', 'Novels']"
9780786209859,Dead Over Heels ,Charlaine Harris,Thorndike Press,English,"['Mystery', 'Fiction', 'Cozy Mystery', 'Crime', 'Romance', 'Audiobook', 'Adult']"
9781860491818,Dead Over Heels ,Charlaine Harris,Virago,English,"['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Novels', 'Literary Fiction', 'Literature']"
9780553282986,Dead Poets Society,N.H. Kleinbaum,Starfire,English,"['Classics', 'Fiction', 'Young Adult', 'Contemporary', 'Poetry', 'Novels', 'Drama']"
9780967134505,Dead Poets Society,N.H. Kleinbaum,Harvest Moon Publishing,English,"['Classics', 'Fiction', 'Young Adult', 'Contemporary', 'Poetry', 'Novels', 'Drama']"
9780441012183,Dead to the World ,Charlaine Harris,Ace Books,English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']"
9780441008537,Dead Until Dark ,Charlaine Harris,Ace Books,English,"['Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Mystery']"
9780440017806,Deadeye Dick,Kurt Vonnegut Jr.,Delacorte,English,"['Fiction', 'Classics', 'Humor', 'Literature', 'Science Fiction', 'Novels', 'American']"
9780765310026,Deadhouse Gates ,Steven Erikson,Tor Books,English,"['Fantasy', 'Epic Fantasy', 'Fiction', 'High Fantasy', 'Epic', 'Dark Fantasy', 'Science Fiction Fantasy']"
9780440213321,Deadlock ,Sara Paretsky,Dell,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Detective', 'Thriller', 'Suspense']"
9780575096578,Deadlocked ,Charlaine Harris,Gollancz,English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Romance', 'Mystery']"
9780671028367,Deadly Decisions ,Kathy Reichs,Pocket Star,English,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective']"
9780152045661,Dealing with Dragons ,Patricia C. Wrede,HMH Books for Young Readers,English,"['Fantasy', 'Young Adult', 'Dragons', 'Fiction', 'Middle Grade', 'Childrens', 'Magic']"
9781984854780,Dear Edward,Ann Napolitano,The Dial Press,English,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Coming Of Age', 'Adult', 'Adult Fiction']"
9780446528054,Dear John,Nicholas Sparks,Warner Books (NY),English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Contemporary Romance', 'Adult Fiction']"
9780312625207,Death and the Girl Next Door ,Darynda Jones,St. Martin's Press,English,"['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Angels', 'Urban Fantasy', 'Paranormal Romance']"
9780060740689,Death at La Fenice ,Donna Leon,Harper Perennial,English,"['Mystery', 'Fiction', 'Italy', 'Crime', 'Mystery Thriller', 'Detective', 'Thriller']"
9780671011376,Death du Jour ,Kathy Reichs,Pocket Star,English,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Murder Mystery']"
9781933397696,Death In Disguise ,Caroline Graham,Felony & Mayhem,English,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Mystery Thriller', 'Cozy Mystery', 'Detective']"
9780345446664,Death in Holy Orders ,P.D. James,Ballantine Books,English,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Mystery Thriller', 'British Literature', 'Thriller']"
9780449210956,Death in the Devil's Acre ,Anne Perry,BallantineBooks,English,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Fiction', 'Historical', 'Victorian', 'Mystery Thriller']"
9780451459404,Death Masks ,Jim Butcher,Ace,English,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Paranormal', 'Magic', 'Audiobook']"
9781933397269,Death Of A Hollow Man ,Caroline Graham,Felony & Mayhem,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'British Literature', 'Cozy Mystery', 'Detective']"
9781569472545,Death of an Englishman ,Magdalen Nabb,Soho Crime,English,"['Mystery', 'Italy', 'Fiction', 'Crime', 'Mystery Thriller', 'Christmas', 'Detective']"
9781852864989,Death: The High Cost of Living,Neil Gaiman,Titan Books,English,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Comic Book', 'Urban Fantasy']"
9781852864989,Death: The High Cost of Living,Neil Gaiman,Titan Books,English,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Comic Book', 'Urban Fantasy']"
9781563893339,Death: The Time of Your Life,Neil Gaiman,Vertigo,English,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Comic Book', 'Urban Fantasy']"
9781563893339,Death: The Time of Your Life,Neil Gaiman,Vertigo,English,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Comic Book', 'Urban Fantasy']"
9780425147580,Debt of Honor ,Tom Clancy,Berkley Books,English,"['Fiction', 'Thriller', 'Military Fiction', 'Espionage', 'Action', 'Suspense', 'Adventure']"
9780553565065,Deception,Amanda Quick,Bantam Books,English,"['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Regency', 'Mystery']"
9780553575095,Deception on His Mind ,Elizabeth  George,Bantam Books,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Detective', 'British Literature']"
9780553575095,Deception on His Mind ,Elizabeth  George,Bantam Books,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Detective', 'British Literature']"
9780671027384,Deception Point,Dan Brown,Pocket Books,English,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Adventure', 'Science Fiction']"
9780060921088,Declarations of Independence: Cross-Examining American Ideology,Howard Zinn,Perennial,English,"['History', 'Politics', 'Nonfiction', 'American History', 'Political Science', 'Philosophy', 'American']"
9780671503734,Deep Six ,Clive Cussler,Simon & Schuster,English,"['Fiction', 'Adventure', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']"
9780425178959,Deep South ,Nevada Barr,Berkley,English,"['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Thriller', 'Audiobook']"
9780671524203,Deep Waters,Jayne Ann Krentz,Pocket Star Books,English,"['Romance', 'Contemporary', 'Romantic Suspense', 'Contemporary Romance', 'Mystery', 'Suspense', 'Fiction']"
9780441000692,Deerskin,Robin McKinley,Ace,English,"['Fantasy', 'Fairy Tales', 'Fiction', 'Young Adult', 'Romance', 'Retellings', 'Science Fiction Fantasy']"
9780385344227,Defending Jacob,William Landay,Delacorte Press,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']"
9781595143921,Defiance ,Lili St. Crow,Razorbill,English,"['Young Adult', 'Vampires', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Werewolves', 'Romance']"
9780441014910,Definitely Dead ,Charlaine Harris,Ace Books,English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']"
9780061726835,Delirium ,Lauren Oliver,HarperCollins,English,"['Young Adult', 'Dystopia', 'Romance', 'Fantasy', 'Science Fiction', 'Fiction', 'Teen']"
9780345363312,Demon Lord of Karanda ,David Eddings,Del Rey,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Adventure']"
9781423121312,Demonglass ,Rachel Hawkins,Disney,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Vampires', 'Witches']"
9781501122859,Denial ,Lisa Renee Jones,Gallery Books,English,"['Romance', 'Romantic Suspense', 'Suspense', 'Contemporary Romance', 'Contemporary', 'Mystery', 'Erotica']"
9780553561531,Desire,Amanda Quick,Bantam Books,English,"['Romance', 'Historical Romance', 'Historical', 'Medieval', 'Historical Fiction', 'Fiction', 'Medieval Romance']"
9780061779848,Desires of the Dead ,Kimberly Derting,HarperCollins Children's Books,English,"['Young Adult', 'Paranormal', 'Mystery', 'Romance', 'Fantasy', 'Supernatural', 'Fiction']"
9780670868360,Desperation,Stephen King,Viking Penguin,English,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Suspense', 'Supernatural', 'Paranormal']"
9781905654871,Destined ,P.C. Cast,Atom,English,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Fiction']"
9780061583216,Destined for an Early Grave ,Jeaniene Frost,Avon,English,"['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Fantasy', 'Adult', 'Fiction']"
9780593133378,"Detransition, Baby",Torrey Peters,One World,English,"['Fiction', 'LGBT', 'Queer', 'Contemporary', 'Literary Fiction', 'Transgender', 'Audiobook']"
9780446679190,Devices and Desires ,P.D. James,Warner Books,English,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Mystery Thriller', 'British Literature', 'Audiobook']"
9780446407410,Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,Grand Central Publishing,English,"['Nonfiction', 'Animals', 'Memoir', 'Cats', 'Biography', 'Adult', 'Biography Memoir']"
9780593336731,Dial A for Aunties ,Jesse Q. Sutanto,Berkley,English,"['Romance', 'Fiction', 'Contemporary', 'Mystery', 'Audiobook', 'Adult', 'Humor']"
9781854793843,Diana : Her True Story - In Her Own Words,Andrew Morton,Michael Omara,English,"['Biography', 'Nonfiction', 'History', 'Memoir', 'Audiobook', 'Biography Memoir', 'Autobiography']"
9780060001506,Diary of a Worm,Doreen Cronin,HarperCollins,English,"['Picture Books', 'Childrens', 'Fiction', 'Humor', 'Animals', 'Fantasy', 'Nature']"
9780520231122,Dictee,Theresa Hak Kyung Cha,University of California Press,English,"['Poetry', 'Fiction', 'Art', 'Contemporary', 'School', 'Literature', 'Feminism']"
9780062004017,Die for Me ,Amy Plum,HarperTeen,English,"['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Paranormal Romance', 'Zombies', 'Supernatural']"
9783764500016,Die Schwingen des Horus,Wilbur Smith,Blanvalet,German,"['Historical Fiction', 'Fiction', 'Adventure', 'Egypt', 'Historical', 'Thriller', 'Mystery']"
9780515142242,Die Trying ,Lee Child,Jove,English,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Mystery Thriller', 'Suspense']"
9780751514629,Different Seasons,Stephen King,Warner Books,English,"['Horror', 'Fiction', 'Short Stories', 'Thriller', 'Mystery', 'Fantasy', 'Classics']"
9780553590159,Dime Store Magic ,Kelley Armstrong,Bantam,English,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Witches', 'Paranormal Romance', 'Magic']"
9780449911594,Dinner at the Homesick Restaurant,Anne Tyler,Ballantine Books,English,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'American', 'Literature', 'Classics']"
9780679824114,Dinosaurs Before Dark ,Mary Pope Osborne,Random House,English,"['Fantasy', 'Childrens', 'Fiction', 'Chapter Books', 'Adventure', 'Historical Fiction', 'Middle Grade']"
9780743436120,Diplomatic Immunity ,Bujold Lois Mcmaster,Baen Publishing Enterprises,English,"['Science Fiction', 'Space Opera', 'Fiction', 'Mystery', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook']"
9781732624702,Dirty Headlines,L.J. Shen,LJ Shen,English,"['Romance', 'Contemporary Romance', 'Contemporary', 'New Adult', 'Adult', 'Erotica', 'Audiobook']"
9780440221791,Dirty White Boys,Stephen Hunter,Dell,English,"['Fiction', 'Thriller', 'Crime', 'Mystery', 'Action', 'Suspense', 'Mystery Thriller']"
9780670887316,Disgrace,J.M. Coetzee,Viking,English,"['Fiction', 'Africa', 'South Africa', 'Classics', 'Literature', 'Novels', 'Contemporary']"
9781570820878,Disney's The Lion King,Don Ferguson,Mouse Works,English,"['Childrens', 'Picture Books', 'Fiction', 'Animals', 'Fantasy', 'Classics', 'Adventure']"
9780330411967,Dissolution ,C.J. Sansom,Pan,English,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Crime', 'Historical Mystery', 'Mystery Thriller']"
9780062024039,Divergent ,Veronica Roth,Katherine Tegen Books,English,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']"
9781250857439,Divine Rivals ,Rebecca   Ross,Wednesday Books,English,"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'Historical Fiction', 'Fantasy Romance', 'Audiobook']"
9780060759957,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,Harper Perennial,English,"['Fiction', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Southern', 'Historical Fiction', 'Adult']"
9780984967544,Divorce Hotel,B.R. Snow,B.R. Snow,English,"['Humor', 'Fiction', 'Horror']"
9780374418106,Doctor De Soto,William Steig,"Farrar, Straus and Giroux",English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Fantasy', 'Humor', 'Classics']"
9780140149043,Dogeaters,Jessica Hagedorn,Penguin Books,English,"['Fiction', 'Historical Fiction', 'Novels', 'School', 'Literature', 'Asia', 'Contemporary']"
9781101138175,Dolores Claiborne,Stephen King,Signet Book,English,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Audiobook']"
9781735322315,Don't Close Your Eyes,Lynessa James,Lynessa Layne Literature,English,"['Romance', 'Reverse Harem', 'Fiction', 'Contemporary', 'Crime', 'Suspense', 'Contemporary Romance']"
9781423116387,Don't Judge a Girl by Her Cover ,Ally Carter,Disney ● Hyperion Books,English,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Fiction', 'Espionage', 'Adventure']"
9781844280131,Don't Let the Pigeon Drive the Bus!,Mo Willems,Walker Books Ltd,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Animals', 'Storytime', 'Fantasy']"
9780553562736,Doomsday Book ,Connie Willis,Bantam Spectra,English,"['Science Fiction', 'Time Travel', 'Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Science Fiction Fantasy']"
9780553250336,Double Love ,Francine Pascal,Bantam Books,English,"['Young Adult', 'Childrens', 'Fiction', 'Chick Lit', 'Romance', 'Middle Grade', 'High School']"
9780451419712,Down London Road ,Samantha Young,NAL,English,"['Romance', 'Contemporary Romance', 'New Adult', 'Contemporary', 'Adult', 'Erotica', 'Chick Lit']"
